id,label,prediction,score,confidence,text,err_chars
337,0,1,0.99955374,0.99910748,这个地区在试行科学种田以后，经过一年多的苦战，粮食和棉花产量都大大超过了历史最高水平。,"['[CLS]' '这' '个' '地' '区' '在' '试' '行' '科' '学' '种' '田' '以' '后' '，' '经' '过'
 '一' '年' '多' '的' '苦' '战' '，' '粮' '食' '和' '棉' '花' '产' '量' '都' '大' '大' '超'
 '过' '了' '历' '史' '最' '高' '水' '平' '。' '[SEP]']"
383,0,1,0.9971501,0.994300246,你不敢轻视了静坐于酒馆一角独饮的老翁或巷头鸡皮鹤首的老妪，他们说不定就是身怀绝技的奇才异人。,"['[CLS]' '你' '不' '敢' '轻' '视' '了' '静' '坐' '于' '酒' '馆' '一' '角' '饮' '的' '老'
 '翁' '或' '巷' '头' '鸡' '皮' '鹤' '首' '的' '老' '妪' '，' '他' '们' '说' '不' '定' '就'
 '是' '身' '怀' '绝' '技' '的' '奇' '才' '异' '人' '。' '[SEP]']"
408,1,0,0.005922031,0.988155938,海盗，这个一度濒临消亡、后来只存在于影视作品和传奇小说中的词，再一次从我们的记忆深处搜罗出来。,[]
414,0,1,0.9780182,0.956036448,"新年前夕,国家主席习近平为全国人民送上新年祝福，并号召大家要万众一心加油干，越是艰险越向前。",['家' '要' '万' '众' '一' '心' '加' '油' '干' '，' '前' '。']
442,0,1,0.9954255,0.990851045,这句话的后面，包含了多么丰富的潜台词啊！,['[CLS]' '这' '的' '后' '面' '，' '包' '了' '多' '么' '富' '的' '潜' '啊' '！' '[SEP]']
453,0,1,0.9698589,0.93971777,大量事实表明，领先科技出现在哪里，高端人才流向哪里，发展的制高点和经济的竞力就转向哪里。,['大' '，' '技' '，' '的' '点' '和' '经' '济' '的' '竞' '力' '就' '转' '向' '。']
473,0,1,0.6400252,0.280050397,人类在长期的实践中，对生命和自然的认识逐渐有了本质性的进展，发现自然系统之间的各个元素并非独立，而是彼此环环相扣，人类仅是该复杂系统中的一个环节而已。,[]
495,1,0,0.18361096,0.632778078,只有全面深化合作，才能更好地促进各自发展，推进东亚地区融合和一体化，为世界的和平、发展与繁荣作出贡献。,[]
518,0,1,0.9869251,0.97385025,诺尔康公司打破垄断局面，使中国成为自主研发并生产人工耳蜗的国家。,"['[CLS]' '诺' '尔' '康' '公' '司' '打' '破' '垄' '断' '局' '面' '，' '使' '中' '国' '成'
 '为' '自' '主' '研' '发' '并' '生' '产' '人' '工' '耳' '蜗' '的' '国' '家' '。' '[SEP]']"
539,0,1,0.6900035,0.380007029,作为消费者，你是否想过，正是某些畸形的消费需求刺激了商业经营对生态的污染和破坏，从这个意义上说，消费者既是受害者，又是自己的加害者。,['对' '的']
540,0,1,0.5512745,0.102548957,没有拿来的，人不能自成为新人，没有拿来的，文艺不能自成为新文艺。,['的']
550,1,0,0.020974446,0.958051108,在“望子成龙”“望女成凤”思想的指导下，许多家长对孩子的学习采取高压严管的政策，而对其在生活方面又过分溺爱。,[]
572,1,0,0.48318267,0.033634663,县里通知说，让赵乡长本月15日前去汇报。,[]
610,1,0,0.10185728,0.796285436,市教研室通过多年的努力，评价方法得当、操作程序公开透明、让所有人都心服口服的一套高考质量评估方案出台了。,[]
621,1,0,0.027434357,0.945131287,2017扬州鉴真国际半程马拉松赛将于4月23日在扬州马拉松公园鸣枪起跑，来自全球40多个国家和地区近4万名选手和35名国际健将参加比赛。,[]
630,1,0,0.023542216,0.952915568,重庆人离不开小面，小面的故事在民间广为传承。,[]
640,0,1,0.97267735,0.9453547,无论才智高低、本事大小，都应投身到人民大众开天辟地的伟大事业中去。,['[CLS]' '无' '论' '，' '都' '应' '到' '人' '民' '大' '众' '开' '的' '[SEP]']
660,1,0,0.40409696,0.191806078,医生建议易过敏的人在春季应少晒太阳，已经痊愈的日光性皮炎、季节性皮炎病人要注意尽量避免晒太阳，不要使用香皂和碱性化妆品。,[]
691,1,0,0.010549245,0.978901511,“汉字听写大会”的举办，既可以让汉字文化得以传承，让汉字书写美德得以传承，又可以检验我国民众整体的汉字书写水准。,[]
695,1,0,0.11414494,0.771710113,《国家宝藏》用镜头带领观众走进博物馆，力图对每一件文物的前世今生进行总结与梳理，让观众在一眼万年中，感悟传统文化的深厚魅力。,[]
721,0,1,0.9848129,0.969625831,若遇到风和日丽的午后，你不但不感到岁时的肃杀，而且还可以饱觉着一种莫名其妙的含蓄在那里的生气。,"['[CLS]' '若' '，' '不' '不' '，' '而' '且' '还' '可' '以' '饱' '觉' '着' '一' '种' '莫'
 '的' '含' '蓄' '在' '那' '里' '的' '生' '气' '。' '[SEP]']"
727,1,0,0.36635405,0.267291903,“克隆羊”的难能可贵之处在于换进去的不仅仅是体细胞的核，还是胚胎细胞核。,[]
738,1,0,0.00203795,0.9959241,为北京申奥成功做出贡献的《申办报告》是一幅全面展现北京风采的锦绣画卷，国际奥委会已经收藏，目前陈列在瑞士洛桑奥林匹克博物馆中。,[]
741,0,1,0.56568867,0.131377339,我们初中学生，一般的说，都有自学意识。,['的']
759,1,0,0.28543073,0.429138541,气候的变化与支气管哮喘的发病有密切的关系，如每年的春末和秋初，气温变化幅度较大，哮喘的发病人数也明显增加。,[]
770,1,0,0.038886633,0.922226734,进入2000年以后，教育问题越来越得到社会的关注。,[]
781,0,1,0.9998344,0.999668837,我的大堰河般的保姆和她们的儿子，呈给爱我如爱她自己的儿子般的大堰河。,"['[CLS]' '我' '的' '大' '堰' '河' '般' '的' '保' '姆' '和' '她' '们' '的' '儿' '子' '，'
 '呈' '给' '爱' '我' '如' '爱' '她' '自' '己' '的' '儿' '子' '般' '的' '大' '堰' '河' '。'
 '[SEP]']"
784,0,1,0.9900789,0.980157852,疫苗的研制是工程浩大的项目，需要耗时数年的潜心研究，而且绝不是一个人的战斗，而是一场指向整个人类的战斗。,"['[CLS]' '疫' '苗' '的' '研' '制' '是' '工' '程' '浩' '大' '的' '项' '目' '，' '需' '要'
 '耗' '时' '数' '年' '的' '潜' '心' '研' '究' '，' '而' '且' '绝' '不' '是' '一' '个' '人'
 '的' '战' '斗' '，' '而' '是' '一' '场' '指' '的' '。' '[SEP]']"
802,0,1,0.9308013,0.861602545,在2016年的宇航发射任务中，有15次为重大专项任务或首飞任务。,['[CLS]' '在' '任' '务' '有' '专' '项' '任' '务' '或' '首' '飞' '任' '务' '。' '[SEP]']
831,0,1,0.988997,0.977993965,最高的美是画家所无法表现的，因为它是难于直观的。,"['[CLS]' '最' '高' '的' '美' '是' '画' '家' '所' '的' '，' '因' '为' '它' '是' '难' '于'
 '直' '观' '的' '。' '[SEP]']"
843,1,0,0.26936316,0.46127367,宿迁市发布了《宿迁文明20条》，这20条文明建议都与日常生活细节有关，也正因宿迁市发布的文明规则过于细化，它在舆论场里引发了不小的争议。,[]
917,1,0,0.017980702,0.964038596,只有产品在优胜劣汰中竞争而出，才能形成真正的品牌效应，一些总是试图经由“借衣”来进行自救的乳企，它们并非不知道这一点。,[]
918,0,1,0.83762085,0.675241709,非现金支付在一定程度上减少了现金使用的风险，降低了交易成本，有助于防范洗钱和腐败等现象，但与此同时，一定不能排斥、歧视人民币现金使用这种支付方式。,['的' '风' '金' '使']
920,0,1,0.9925224,0.985044837,往事桩桩件件，历历在目，那是我们记忆仓库里一颗颗流光溢彩的珍珠啊！,"['[CLS]' '往' '事' '桩' '桩' '件' '件' '，' '历' '历' '目' '，' '那' '是' '我' '们' '记'
 '里' '一' '颗' '的' '啊' '！' '[SEP]']"
956,0,1,0.996473,0.992946029,当你忙碌或食欲不振的时候，做一味香椿拌豆腐，或是皮蛋拌豆腐、小葱拌豆腐佐餐，都十分可口。,"['[CLS]' '当' '你' '忙' '或' '的' '时' '候' '，' '做' '一' '味' '椿' '拌' '豆' '腐' '，'
 '或' '是' '皮' '蛋' '拌' '豆' '腐' '、' '小' '葱' '拌' '豆' '腐' '佐' '餐' '，' '都' '十'
 '分' '可' '口' '。' '[SEP]']"
989,0,1,0.99844736,0.996894717,连日来，江西武宁县船滩乡船滩村一村民发现“千年乌木”的消息不胫而走，每天吸引上百名村民赶到现场看热闹。,"['[CLS]' '连' '日' '来' '，' '江' '西' '县' '船' '乡' '船' '滩' '村' '一' '村' '民' '发'
 '现' '“' '千' '年' '乌' '木' '”' '的' '消' '息' '不' '胫' '而' '走' '，' '每' '天' '吸'
 '引' '上' '百' '名' '村' '民' '赶' '到' '现' '场' '看' '热' '闹' '。' '[SEP]']"
1002,1,0,0.48654044,0.026919127,大卫先生对中国的文化历史有浓厚的兴趣，在他办公室的案头上就放着李白、杜甫等唐诗的选本。,[]
1009,1,0,0.06606771,0.867864579,知名民校“横空出世”，受益的将不仅是对优质教育资源有迫切需求的家长们，还有部分教育培训机构也将依托这些知名民校得到扩张发展。,[]
1013,1,0,0.07543407,0.849131867,从已发生的全球飞机事故系统数据来看，绝大多数的航班事故都发生在飞机起飞阶段的三分钟和着陆阶段的七分钟，故有“黑色十分钟之说”。,[]
1014,1,0,0.14672749,0.706545025,文化需要娱乐的手段通往最广大的受众，而娱乐的价值也需要文化的内涵来体现，娱乐与文化就像皮与毛的关系——皮之不存，毛将焉附。,[]
1024,0,1,0.77126265,0.542525291,我国不但最早发现并利用了茶这种植物，而且拥有世界上最多的茶叶品种，在茶叶制作工艺上更是不断创新发展。,['但' '最' '早']
1031,1,0,0.010408492,0.979183016,苏泊尔总裁表示，选择《舌尖2》进行赞助的原因是，苏泊尔一直遵循创立之初的承诺，要在中国传统饮食文化中留下自己的印记。,[]
1044,1,0,0.29837152,0.403256953,高晓松获释后，自叹狱中的六个月是“最长的半年”。他的自叹不仅给广大公众敲响了警钟，而且流露出对自己醉驾行为的悔意。这也正是高晓松“倾情”唱出的一首“警世歌”。,[]
1049,1,0,0.2243331,0.551333815,澳大利亚总理阿博特11日发表声明称，澳方已经最大限度缩小了搜寻区域，并且对近日探测到的脉冲信号来自失联已一个多月的MH370航班的黑匣子非常有信心。,[]
1051,0,1,0.99843866,0.996877313,为了防止考试发生舞弊，有关部门对制卷、监考、阅卷、登分、统计、成绩公布等工作都拟订了具体的操作规程。,"['[CLS]' '为' '了' '考' '试' '弊' '，' '有' '关' '部' '门' '对' '制' '卷' '、' '监' '考'
 '、' '阅' '卷' '、' '登' '分' '、' '统' '计' '、' '成' '绩' '公' '布' '等' '工' '作' '都'
 '拟' '。' '[SEP]']"
1072,1,0,0.004530025,0.990939951,苏州河淤泥疏浚工程正式全线启动，显示了上海市政府部门彻底治理苏州河长期存在的污染问题、打造东方“莱茵河”的决心。,[]
1091,0,1,0.9981231,0.996246219,自然学者们常常把变异的惟一可能原因归之于如气候、食物等外界条件，从某一狭隘的意义上来说，这是正确的，我们以后会论述到。,"['[CLS]' '自' '然' '学' '们' '常' '常' '把' '变' '异' '的' '惟' '一' '能' '原' '因' '归'
 '之' '于' '如' '气' '候' '、' '食' '物' '等' '外' '界' '条' '件' '，' '从' '某' '一' '狭'
 '隘' '的' '意' '义' '上' '来' '说' '，' '这' '是' '正' '确' '的' '，' '我' '们' '以' '后'
 '会' '论' '述' '到' '。' '[SEP]']"
1101,0,1,0.9978915,0.995782971,应该说，只要是清官，对政局的稳定、对老百姓安居乐业都是有好处的。,"['[CLS]' '应' '该' '说' '，' '只' '要' '是' '清' '官' '，' '对' '政' '局' '的' '稳' '定'
 '、' '对' '老' '百' '姓' '安' '居' '乐' '业' '都' '是' '有' '好' '处' '的' '。' '[SEP]']"
1103,1,0,0.04821941,0.903561182,《印象丽江》以曼妙而庄严的舞姿，古朴如同天籁的音乐，金色似有玄机的灯光，华贵而祥和的氛围，让观众在获得精神的陶冶和升华的同时，也获得了审美愉悦。,[]
1124,1,0,0.045993034,0.908013932,网络文艺不仅影响了主流文化格局，也满足了老百姓的文化娱乐消费需求。,[]
1137,0,1,0.9973309,0.994661808,常宁一中新校区气势恢弘，各种建筑布局合理，教学楼、综合楼、食堂豪华而气派，见之让人耳目一新，流连忘返。,"['[CLS]' '，' '、' '食' '堂' '，' '见' '之' '让' '人' '耳' '新' '，' '流' '连' '忘' '返'
 '。' '[SEP]']"
1191,0,1,0.93509424,0.870188475,如果说掌握公权的官员对社会的伤害是一种“硬伤害”，那靠虚假故事骗取同情和关爱的行为，就可能是一种“软伤害”。,['[CLS]' '公' '的' '官' '员' '对' '社' '的' '伤' '害' '[SEP]']
1229,0,1,0.9741116,0.948223233,一些患者一旦抓住医生某些把柄，就添油加醋地“声讨”，索取巨额赔偿甚至伤害医护人员的行为，让医生承受了巨大的压力和委屈。,"['[CLS]' '一' '些' '医' '生' '某' '些' '，' '就' '地' '，' '索' '取' '赔' '偿' '甚' '至'
 '伤' '害' '员' '的' '行' '为' '，' '让' '生' '承' '了' '的' '和' '屈' '。' '[SEP]']"
1240,1,0,0.13917468,0.72165063,近日，乐视正式宣布乐视超级汽车生态体验园将落户浙江，这也回应了业界一直以来对乐视造车的关注和质疑。,[]
1293,1,0,0.3186701,0.362659812,根据环保部初步调查结果，华北平原局部地区地下水存在重金属超标和有机物污染，其重要原因是海河流域受污染地表水入渗补给和重点污染源排放。,[]
1296,0,1,0.87043494,0.74086988,调查组经过仔细调查研究，认为是他未按组委会决定把比赛日期告诉给对方，以致产生了误会。,['，' '是' '他' '对' '方' '，']
1312,1,0,0.30266023,0.394679546,株洲大道建成通车，将推动株洲城市扩容发展，提升城市功能和品位，加快株洲高新区栗雨工业园的开发建设，从而推进长株潭经济一体化。,[]
1352,1,0,0.32745844,0.345083117,微山湖水域面积大，加之夏季荷花盛开，蓝天碧水环绕，水中大小鱼儿上窜下跳，水面十万亩荷花竞相待放，正是游人游水赏荷的好季节。,[]
1369,1,0,0.09917481,0.801650375,一个运动员能从一项运动中夺魁就已经不容易了，他却想从两项运动中夺冠。,[]
1377,1,0,0.4347704,0.130459189,河北师范大学信息技术学院为解决“课堂低头族”现象，防止学生上课总玩手机，影响听课效果，实行“手机收纳、人机分离”。,[]
1380,0,1,0.979917,0.95983398,蒲松龄的《聊斋志异》，借神话抒发“孤愤”，刺贪虐扬善美，行世200多年来，各种版本难以计数，至今仍有广大读者。,"['[CLS]' '，' '抒' '，' '刺' '贪' '虐' '扬' '善' '美' '，' '年' '计' '，' '至' '今' '仍'
 '有' '广' '大' '读' '者' '。' '[SEP]']"
1391,1,0,0.12028368,0.759432644,我们既拒绝政治观点错误的艺术品，也拒绝只有正确的政治观点，而没有艺术力量的所谓“标点口号式”的倾向。,[]
1394,0,1,0.95612276,0.912245512,如果不能有效缓解人口激增对水土资源构成的巨大压力，其所带来的环境恶化就将危及社会经济的可持续发展。,"['[CLS]' '不' '缓' '解' '人' '口' '对' '水' '土' '资' '源' '构' '成' '的' '巨' '大' '压'
 '力' '，' '其' '所' '。' '[SEP]']"
1398,0,1,0.99694675,0.993893504,“实践十号”卫星的成功发射、在轨运行和回收，将极大提高我国微重力科学及空间生命科学研究。,"['[CLS]' '“' '实' '践' '星' '的' '成' '功' '、' '轨' '和' '回' '收' '，' '将' '极' '大'
 '提' '高' '我' '国' '微' '重' '力' '科' '学' '及' '空' '间' '生' '命' '科' '学' '研' '究'
 '。' '[SEP]']"
1416,0,1,0.98372585,0.967451692,国民教育在综合国力的形成中处于基础地位，国力的增强越来越多地取决于劳动者素质的提高，取决于各类人才培养的质量的提高。,"['[CLS]' '国' '民' '教' '育' '，' '国' '力' '的' '增' '强' '越' '来' '越' '多' '地' '取'
 '于' '素' '质' '的' '提' '高' '，' '取' '的' '。' '[SEP]']"
1427,1,0,0.28851962,0.422960758,刚刚公布的《2012年全国抗菌药物临床应用专项整治活动方案》，是卫生部继去年实施被称为“史上最严格”的抗菌药整治计划后，再次打出的一记重拳——医生乱用抗菌药，其处方权将被取消。,['[SEP]']
1434,1,0,0.03494988,0.93010024,近期，《广深科技创新走廊规划》正式发布，提出到2050年将深圳建成国际一流的科技产业创新中心，成为全国创新发展重要一极。,[]
1437,0,1,0.9941566,0.988313198,他们把敌人引上了三面都是悬崖的狼牙山顶峰。,"['[CLS]' '他' '们' '把' '敌' '人' '引' '上' '了' '三' '面' '都' '崖' '的' '狼' '牙' '山'
 '顶' '峰' '。' '[SEP]']"
1445,1,0,0.26821408,0.463571846,2010年广州亚运会火炬传递暨火炬点燃活动启动仪式于10月12日在北京举行。亚运会火炬从北京出发，在哈尔滨、长春、山东省海阳市以及广东省内21个地级以上城市传递。,[]
1448,0,1,0.9992298,0.998459578,本来大家都要上班，要送和收只能到晚上，而将大小官员都放假了，说不定使那些还在“偷偷摸摸”转悠的别有用心之人，提供了更多冠冕堂皇的“跑”和“要”的机会。,"['[CLS]' '本' '来' '大' '家' '都' '要' '上' '班' '，' '要' '送' '和' '收' '只' '能' '到'
 '晚' '上' '，' '而' '将' '大' '小' '官' '员' '都' '放' '假' '了' '，' '说' '不' '定' '使'
 '那' '些' '还' '的' '别' '人' '，' '提' '供' '了' '更' '多' '冠' '冕' '堂' '皇' '的' '“'
 '跑' '”' '和' '要' '”' '的' '机' '会' '。' '[SEP]']"
1457,1,0,0.42042828,0.159143448,江西旅游去年持续加大宣传，有效拓展客源，“江西风景独好”旅游品牌深入人心，实现了“十二五”的良好开局。,[]
1467,1,0,0.04359054,0.912818924,人生价值和意义，其实并不在于别人对自己如何膜拜、崇敬、羡慕，而在于自己对社会，对历史的进步和发展作出何种贡献,[]
1474,1,0,0.18683673,0.626326531,吴大伯表示，作为一个退休干部，支持环保是每个公民应该具有的环保意识，而落实到实际中，就要从身边的小事做起。,[]
1478,1,0,0.17333825,0.653323501,在中国，尽管把恐龙化石当做“龙骨”并作为一味中药已有很长历史了，但从科学角度对之进行发现和研究，则是从20世纪才开始的事。,[]
1490,0,1,0.9985114,0.997022748,瓦，作为中国传统的建筑材料，最早使川于西周早期，迄今已有3000多年历史,"['[CLS]' '瓦' '，' '，' '最' '早' '使' '川' '于' '西' '周' '早' '期' '，' '迄' '今' '已'
 '有' '3' '0' '0' '0' '多' '年' '历' '史' '[SEP]']"
1517,1,0,0.46090734,0.07818532,连续几个昼夜，在大桥及其两侧，站满了数千名胸前挂着“靶心”标志的人群……用不着再举例，你已经可以知道南斯拉夫人民是怎样一种人，这种人是怎样一种精神。,[]
1518,0,1,0.99111897,0.982237935,茶的饮用方式主要在于品，对于耽饮者，品有助于缅怀过去、眺望未来，有助于独自沉浸于创造构思中，也有助于激发友朋间隽言妙语之谈兴。,"['[CLS]' '茶' '的' '饮' '用' '方' '式' '主' '在' '于' '品' '，' '对' '于' '耽' '饮' '者'
 '，' '品' '有' '助' '于' '、' '眺' '望' '，' '有' '于' '独' '自' '沉' '浸' '于' '创' '造'
 '中' '，' '也' '有' '助' '于' '激' '发' '友' '朋' '间' '隽' '言' '妙' '语' '之' '谈' '兴'
 '。' '[SEP]']"
1524,0,1,0.6919487,0.383897424,神秘建筑由两座细长的尖型结构和分布在四周的若干圆环组成，造型很像出现在类似《星球大战》这种电影中的外星飞船。,['和' '很' '出' '在' '的']
1527,1,0,0.047364045,0.90527191,中国移动MM是全球首个运营商推出的移动应用商场，通过聚集精品应用，扩大终端覆盖范围等，应用产品数量和下载量稳步上升。,[]
1542,1,0,0.12653708,0.746925831,很多国外青年也像翻译过《天龙八部》的英国作家一样喜欢上了翻译小说，从这个方面看，中国武侠小说在国外还是非常受欢迎的。,[]
1547,0,1,0.99911934,0.998238683,宁波博物馆为首位中国籍“普利兹克建筑奖”得主王澍的代表作，它将地域文化、传统元素与现代工艺融为一体，使人们很容易第一眼就被其独特的建筑外观所吸引。,"['[CLS]' '宁' '波' '博' '物' '馆' '为' '首' '位' '中' '国' '籍' '“' '建' '筑' '得' '主'
 '王' '澍' '的' '代' '表' '作' '，' '它' '将' '地' '域' '文' '化' '、' '传' '统' '元' '素'
 '与' '代' '工' '艺' '融' '为' '体' '，' '使' '人' '们' '很' '容' '易' '第' '一' '眼' '就'
 '被' '其' '独' '特' '的' '建' '筑' '外' '观' '所' '吸' '引' '。' '[SEP]']"
1554,0,1,0.9888798,0.9777596,外国专家表示，中国生态文明建设扎实推进，为经济可持续发展、人与自然和谐发展奠定了基础，也为全球绿色发展和治理树立了典范。,"['[CLS]' '，' '也' '为' '全' '球' '绿' '色' '发' '展' '和' '治' '理' '树' '立' '了' '典'
 '范' '。' '[SEP]']"
1577,0,1,0.99921405,0.998428106,教师素质的高低和学生的积极性是否调动起来，是提高教学质量的重要因素。,"['[CLS]' '教' '师' '素' '质' '的' '高' '低' '和' '学' '生' '的' '积' '极' '性' '是' '否'
 '调' '动' '起' '来' '，' '是' '提' '高' '教' '学' '质' '量' '的' '重' '要' '因' '素' '。'
 '[SEP]']"
1594,1,0,0.20395406,0.592091888,高端服务业已成为衡量一个城市综合实力和现代化水平的重要门槛，但国内高端服务业与国际水平相比还处于起步阶段，还有较大的提升空间。,[]
1614,0,1,0.9991979,0.998395801,果子有不少是从西山与北山来的，西山的沙果、海棠，北山的黑枣、柿子，进了城还带着一层白霜儿，美国包着纸的橘子遇到北平带霜儿的玉李，还不愧杀！,"['[CLS]' '果' '子' '有' '不' '少' '是' '从' '西' '山' '与' '北' '山' '来' '的' '，' '西'
 '山' '的' '果' '、' '，' '的' '，' '，' '美' '国' '包' '的' '橘' '子' '遇' '到' '北' '平'
 '带' '霜' '儿' '的' '玉' '李' '，' '还' '不' '愧' '杀' '！' '[SEP]']"
1621,0,1,0.9988005,0.997601032,面对网络销售的冲击，经济管理部门要能突破原有的管理格局和部门利益，大胆创新，用开放的姿态去迎接新事物、新挑战。,"['[CLS]' '面' '对' '网' '络' '销' '售' '的' '冲' '，' '经' '济' '管' '理' '部' '门' '要'
 '能' '突' '破' '原' '有' '的' '管' '理' '格' '局' '和' '部' '门' '利' '益' '，' '大' '胆'
 '创' '新' '，' '用' '开' '放' '的' '姿' '态' '去' '迎' '新' '、' '新' '挑' '战' '。'
 '[SEP]']"
1630,0,1,0.6076606,0.215321183,临近年底，“甲流”来势依然未减，市民防控“甲流”的意识日渐提高，各种各样的防病商品受到青睐。,[]
1642,1,0,0.010374352,0.979251295,人们从郭明义身上，不仅看到了雷锋精神，同时还看到了时代的呼声，更看到了中华民族生生不息、勇往直前的力量源泉。,[]
1702,1,0,0.19237308,0.615253836,1988年到1993年，薄一波写了带有国史性质的《若干重大决策与事件的回顾》。他觉得还有许多事情和许多话没有尽述完全，想再写一本，但毕竟年纪大了，需要帮手。,['[SEP]']
1713,1,0,0.01132833,0.977343339,为规范未成年人骑共享单车上路的危险行为，有关部门和企业将推出一系列措施，如不在未成年人较多的场所投放共享单车等。,[]
1734,0,1,0.6241781,0.248356223,现在很多大学生的阅读是以考试为目的的，脱离了阅读本身的目的。人们更多的开始进入  读图时代，快速的信息流转让人们丢失了阅读的习惯。,['的']
1769,1,0,0.4920913,0.015817404,国土资源部发出通知，要求各省市区国土资源行政主管部门及派驻地方的国家土地督察局采取有力措施，打击囤地炒地等违法现象，坚决抑制少数城市地价过快上涨趋势。,[]
1772,1,0,0.34895793,0.302084148,今年年初，我国出现大面积的持续低温天气，为我国湖南、湖北等地的早稻以及东北水稻、玉米的生长造成不利影响。,[]
1776,0,1,0.99962485,0.999249697,张老师是个跳绳高手，每分钟能跳180个左右。,"['[CLS]' '张' '老' '师' '是' '个' '跳' '绳' '高' '手' '，' '每' '分' '钟' '能' '跳' '1'
 '8' '0' '个' '左' '右' '。' '[SEP]']"
1798,1,0,0.07203292,0.855934158,经过讨论、表决和推举三个程序，红光村村委会的人选顺利产生。,[]
1803,1,0,0.004403438,0.991193125,寒冷，是流浪者的天敌，社会救助机构人员应在汽车站等流浪者经常出没的地方建立专门救助点，给他们发放求助单，随时同救助站取得联系。,[]
1807,0,1,0.8807303,0.761460543,我们知道，魏晋人在思想上崇尚放任、崇尚自由，因此其文学、艺术、哲学皆能彰显个性。然而在政治上，魏晋时期则为典型的衰世,['、' '哲' '为' '典' '型' '的' '衰' '世']
1808,1,0,0.006361354,0.987277292,灰熊正式和小加索尔续约，以一份为期5年，总价值超过1亿多美元的合同留下了这位西班牙内线。,[]
